Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
Watergate Retail DDOE,Strip Mall,2551 Virginia Avenue NW,Washington,District of Columbia,DC,20037,,,449825,64757,1964,2013,,,,,,,,,,2500 VIRGINIA AV NW,80806,WATERGATE EAST INC,,3987680,,2,395219.0672,136802.4981
Squire Patton Boggs,,2550 M Street,Washington,District of Columbia,DC,20037,,,209866,,1977,2013,,,,,,,,0,,2550 M ST NW,140068,CARR CRHP DC/VA PROPERTIES LLC,,4429402,,2,395297.6598,137461.386
WestEnd25,Multifamily Housing,1255 25th Street,Washington,District of Columbia,DC,20006,,,298475,271827,2010,2013,,,,,,,,,31.75034121,1229-1231 25TH ST,240885,RH 1229-1231 25TH STREET LLC,,2703000,,2,395423.1872,137628.4846
Potomac Plaza,Multifamily Housing,"2475 Virginia Avenue, N.W.",Washington,District of Columbia,DC,20037,,,316550,316550,1957,2013,,42.9,48.1,,,,,754.6,,2475 VIRGINIA AV NW,310837,POTOMAC PLAZA APARTMENTS INC,,3336808,,2,395442.2429,136801.1827
Columbia Plaza All Bldgs,Multifamily Housing,2400 Virginia Ave NW,Washington,District of Columbia,DC,20037,,,1544107,988819,1968,2013,,83.1,152.6,83.8,153.3,,,6636.1,53.0893925,2400 VIRGINIA AV NW,330087,COLUMBIA PLAZA LP,,3500007,,2,395540.1363,136565.5146
Park Hyatt Washington,Hotel,1201 24th Street NW,Washington,District of Columbia,DC,20037,,,361400,361400,1986,2013,,93.2,239.5,,,,,3589.2,43.80326508,1201 24TH ST,360859,HYATT EQUITIES LLC,,3633411,,2,395572.8014,137560.4988
The Fairfax at Embassy Row,Hotel,2100 Massachusettes Ave NW,Washington,District of Columbia,DC,20008,,,217504,217000,1928,2013,,,,,,,,,,2100 MASSACHUSETTS AV,670059,NOIRO SOUTH LLC,,4006385,,2,395907.6381,138061.7155
1200 New Hampshire,Office,1200 New Hampshire Avenue,Washington,District of Columbia,DC,20036,,,284658,386378,1979,2013,,62.6,196.6,62.6,196.6,,,3063.1,25.78433555,1200 NEW HAMPSHIRE AV NW,700195,N H STREET PARTNERS HOLDINGS LLC,,1600732,,2,395864.4928,137540.3178
Winston House,,2140 L Street NW,Washington,District of Columbia,DC,20037,,,212571,,1991,2013,,,,,,,,498.7,,2140 L ST NW,730085,WINSTON HOUSE ASSOCIATES LLC,,4018717,,2,395825.6736,137285.244
"2021 K Street, NW",Office,"2021 K St, NW",Washington,District of Columbia,DC,20006,,,258300,148579,1972,2013,,84.8,266.3,,,,,1595.5,,2021 K ST NW,760083,2021 K L.L.C,,1496039,,2,396028.8082,137230.6929
1020 19th Street,Office,"1020 19th Street, NW",Washington,District of Columbia,DC,20036,,,158688,116107,1983,2013,,,,,,,,,,1020 19TH ST NW,850061,"ZG 1020 19TH STREET, LLC",,3473953,,2,396198.6186,137255.5319
NAS Bldg,Office,2101 Constitution Ave NW,Washington,District of Columbia,DC,22048,,,109303,173970,1924,2013,,,,,,,,,12.88210611,2101 CONSTITUTION AV NW,880058,NATIONAL ACADEMY OF SCIENCES,,3641737,,2,395856.7371,136123.7265
1825 K Street,Office,1825 K Street NW,Washington,District of Columbia,DC,20006,,,308836,254527,1966,2013,,,,,,,,,14.84164745,1825 K ST NW,1070062,CALVIN CAFRITZ ENTERPRISES,,2308771,,2,396305.7769,137231.7546
0117-0080 (1901 L St),Office,"1901 L Street,NW",Washington,District of Columbia,DC,20036,,,128672,141539,1982,2013,,,,,,,,,14.33809763,1901 L ST NW,1170080,1901 L STREET LLC,,3867812,,2,396190.5643,137354.6409
The Vanguard Building,Office,1111 20th st NW,Washington,District of Columbia,DC,20036,,,229401,165232,1963,2013,,,,,,,,,19.22206352,1111 20TH ST NW,1170084,VANGUARD ASSOCIATES,,2726905,,2,396143.0672,137362.2609
Farragut Center,Office,"1725 Eye Street, NW",Washington,District of Columbia,DC,20006,,,374766,264000,2001,2013,,,,,,,,,,1727 I ST NW,1260061,FARRAGUT CENTER LLC,,3016235,,2,396487.9228,137090.4689
1250 Conn Ave,Office,1250 Connecticut Ave NW,Washington,District of Columbia,DC,20036,,,232204,195087,1964,2013,,65.1,155.9,,,,,1274.9,13.09569577,1250 CONNECTICUT AV NW,1390816,TRIZECHAHN LLC - 1250C/2401P,,1071476,,2,396329.1563,137668.4012
Imperial House Condominium,Multifamily Housing,"1601 18th Street, NW",Washington,District of Columbia,DC,20009,,,84799,100250,1962,2013,,,,,,,,,,1601 18TH ST NW,1552131,IMPERIAL HOUSE CONDO,,3698501,,2,,
Dupont East Condo,Multifamily Housing,"1545 18th Street, NW",Washington,District of Columbia,DC,20036,,,123462,171760,1961,2013,,,,,,,,,,1545 18TH ST NW,1562138,DUPONT EAST CONDO,,3501692,,2,,
Eleven Hundred Connecticut Avenue,Office,"1100 Connecticut Avenue, NW",Washington,District of Columbia,DC,20036,,,232614,182213,1965,2013,,,,,,,,,29.11812,1100 - 1106 CONNECTICUT AV NW,1610030,ELEVEN HUNDRED CONN AVE ASSOCIATES LLC,,3496813,,2,396477.529,137357.1628
1140 Connecticut Ave for DDOE,Office,"1140 Connecticut Ave, NW",Washington,District of Columbia,DC,20007,,,245932,217549,1966,2013,,,,,,,,,20.84128173,1134 - 1140 CONNECTICUT AV NW,1610032,WRIT 1140 CT LLC,,2945494,,2,396424.7508,137457.0047
1130 Connecticut Avenue DDOE,Office,1130 Connecticut Avenue,Washington,District of Columbia,DC,20036,,,290618,250190,1986,2013,,,,,,,,,9.331707902,1130 CONNECTICUT AV NW,1610039,PENZANCE 1130 PROPERTY OWNER LLC,,3315781,,2,396432.7507,137416.8958
1101 Connecticut Avenue DDOE,Office,1101 Connecticut Avenue,Washington,District of Columbia,DC,20036,,,179563,202878,1976,2013,,,,,,,,,33.3308688,1101 CONNECTICUT AV,1620096,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,3315716,,2,396553.4029,137353.27
1133 Connecticut Ave,Office,1133 Connecticut Ave NW,Washington,District of Columbia,DC,20036,,,236563,190958,1989,2013,,61.7,193.6,,,,,1491.2,12.05553054,1133 CONNECTICUT AV NW,1620101,CONNECTICUT / DESALES PARTNERSHIP,,2962687,,2,396513.2454,137457.6643
1001 Connecticut Avenue,Office,"1001 Connecticut Avenue, NW",Washington,District of Columbia,DC,20036,,,171080,154319,1953,2013,,70.4,172.2,,,,,1172.4,19.81479921,1001 CONNECTICUT AV NW,1640003,1001 CONNECTICUT AVENUE LLC,,3354050,,2,396602.5995,137227.1167
818 Connecticut LLC,Office,"818 Connecticut Avenue, NW",Washington,District of Columbia,DC,20006,,,93189,8458,1977,2013,,,,,,,,,,0818 CONNECTICUT AV NW,1650814,818 CONNECTICUT LLC,,3761920,,2,396638.8747,137007.4982
Northumberland Apartments Inc,Multifamily Housing,2039 New Hampshire Ave NW,Washington,District of Columbia,DC,20009,,,104390,104390,1908,2013,,13.1,18.5,13.1,18.6,,,90.1,25.87987355,2039 NEW HAMPSHIRE AV NW,1890060,NORTHUMBERLAND APARTMENTS INC,,3513627,,1,396934.8497,138880.7403
Chastleton Cooperative,Multifamily Housing,"1701 16th Street, NW",Washington,District of Columbia,DC,20009,,,272450,272450,1921,2013,,,,,,,,,,1701 16TH ST NW,1920825,CHASTLETON COOPERATIVE ASSOCIATION INC,,2923735,,2,396896.1604,138352.6592
Windsor House,Multifamily Housing,1444 Rhode Island Ave NW,Washington,District of Columbia,DC,20005,,,139901,139901,1963,2013,,,,,,,,,,1444 - 1448 RHODE ISLAND AV NW Unit: 400,2110041,WINDSOR ASSOCIATES IV LP,,3540424,,2,397087.5232,137777.963
1101 15th Street,Office,"1101 15th ST, NW",Washington,District of Columbia,DC,20005,,,213934,157363,1973,2013,,,,,,,,,,1101 - 1117 15TH ST NW,2140106,1101 FIFTEENTH LLC,,1497433,,2,397037.8759,137360.8969
1400 Eye Street,Office,"1400 I Street, NW",Washington,District of Columbia,DC,20005,,,257532,175760,1982,2013,,,,,,,,,29.39462904,1400 I ST NW,2200064,"ZG 1400 EYE, LLC",,3474408,,2,397193.162,137017.4648
15th and H Street Associates LLP,Multifamily Housing,733 15th Street NW,Washington,District of Columbia,DC,20005,,,230129,230129,1911,2013,,16.5,24.6,16.7,24.8,,,260.4,32.8554854,733 15TH ST,2220022,15TH AND H STREET ASSOCIATES LLP,,3672853,,2,397126.698,136896.0159
W Hotel,Hotel,515 15th ST NW,Washington,District of Columbia,DC,20004,,,216199,225000,1917,2013,,,,,,,,,,1434 F ST NW,2250803,ISTITHMAR HOTELS WASHINGTON LLC,,2539114,,2,397118.9067,136566.1038
The Flats @ Union Row,Multifamily Housing,2125 14th St NW,Washington,District of Columbia,DC,20009,,,187357,187357,2008,2013,,51.9,113.5,52.1,113.8,,,905.3,43.17265968,2125 14TH ST NW,2352851,THE FLATS @ UNION ROW,,3472298,,1,,
Washington Plaza Hotel,Hotel,"10 Thomas Circle, NW",Washington,District of Columbia,DC,20005,,,300357,300357,1963,2013,,,1347.3,,,,,20177.5,62.34647436,10 THOMAS CIR,2450844,WASHINGTON PLAZA HOTEL LLC,,3499934,,2,397316.2674,137599.2059
1310 L Street,Office,1310 L Street NW,Washington,District of Columbia,DC,20006,,,212991,153800,2002,2013,,,,,,,,,12.9603381,1310 L ST NW,2480066,GREENWAY INC,,2308305,,2,397354.5803,137284.5266
717 14th Street,Office,"717 14th Street, NW",Washington,District of Columbia,DC,20005,,,147884,114202,1955,2013,,,,,,,,,,0717 14TH ST NW,2520078,717 14TH STREET LLC,,3857228,,2,397261.5025,136785.7304
2020 Lofts,Multifamily Housing,"2020 12th Street, NW",Washington,District of Columbia,DC,20009,,,144773,178156,2005,2013,,39,77.6,39.1,77.7,,,598.8,35.18601675,2020 12TH ST NW,2732706,2020 LOFTS CONDOMINIUM,,3353093,,1,,
Iowa Condo,Multifamily Housing,1325 13th St NW,Washington,District of Columbia,DC,20005,,,103516,103516,1923,2013,,,,,,,,,32.97751072,1325 13TH ST NW,2802253,THE IOWA CONDO,,3500426,,2,,
King Housing LLC,Multifamily Housing,1220 12th street nw,Washington,District of Columbia,DC,20005,,,128167,128560,1975,2013,,53.7,91.8,,,,,526.7,53.92423771,1220 12TH ST NW,2810049,KING HOUSING LLC,,3622119,,2,397527.6044,137601.5796
1201 Pennsylvania Ave.,Office,1201 Pennsylvania Ave.,Washington,District of Columbia,DC,20004,,,642329,408509,1981,2013,,,,,,,,,,1201 PENNSYLVANIA AV NW,2910037,1201 LAND LP,,2840677,,2,397511.7459,136429.2854
555 12TH STREET,Office,555 12TH STREET  NW,Washington,District of Columbia,DC,20004,,,795132,887642,1994,2013,,52.3,164.2,52.3,164.2,,,5878.8,15.99653915,0555 12TH ST NW,3210027,MANUFACTURERS LIFE INSURANCE,,29225,,2,397607.454,136543.2047
Evening Star Building 2,Office,1101 Pennsylvania Ave NW,Washington,District of Columbia,DC,20004,,,336270,246136,1989,2013,,61.9,194.2,61.9,194.2,,,1928,25.2510807,1101 PENNSYLVANIA AV NW,3220021,TC 1101 PENNSYLVANIA AVENUE OWNER LLC,,2555583,,2,397621.693,136390.5653
POTOMAC CENTER SOUTH,Office,550 12TH STREET SW,Washington,District of Columbia,DC,20024,,,539713,427463,1968,2013,,50.4,158.3,,,,,2729.7,15.05463631,0550 12TH ST,3270841,POTOMAC CENTER CF LLC,,1427108,,6,397610.1214,135042.9563
The Whitman,Multifamily Housing,910 M St. NW,Washington,District of Columbia,DC,20001,,,177379,177379,2006,2013,,67.4,134,67.6,134.3,,,1029.5,,0910 M ST NW,3692805,THE WHITMAN,,3491858,,2,,
Victor Building - 252510,Office,750 9th Street NW,Washington,District of Columbia,DC,20001,,,322040,349687,2000,2013,,48.1,151.1,,,,,2131.3,11.54632571,0750 9TH ST NW,3750125,750 NINTH STREET LLC,,1328161,,2,397881.6254,136839.0435
Edison Place DDOE,Office,"701 9th Street, NW",Washington,District of Columbia,DC,20001,,,383813,398837,2001,2013,,51.6,162.1,51.6,162.1,,,2607.9,,0701 9TH ST NW,4050024,BFP 701 9TH CO LLC,,3788558,,2,397964.2802,136803.4107
799 9th street,Office,799 9th street N.W.,Washington,District of Columbia,DC,20001,,,215686,219877,2001,2013,,41.1,115,,,,,3081.3,17.81905338,0799 9TH ST NW,4050026,BOP 799 9TH LLC,,1378102,,2,397964.2808,136853.6937
The Residences at Market Square East,Multifamily Housing,"701 Pennsylvania Ave.,",Washington,District of Columbia,DC,20004,,,566133,72026,1991,2013,,,,,,,,,,0701 PENNSYLVANIA AV NW,4080837,WELLS REIT II MARKET SQUARE EAST & WEST LLC,,4018402,,2,398054.2446,136283.0664
asbury dwellings,Multifamily Housing,1616 marion street nw,Washington,District of Columbia,DC,20001,,,128016,119316,1908,2013,,278.8,344.5,,,,,1982.7,42.36313655,1616 MARION ST,4440810,ASBURY DWELLINGS INC,,3468298,,6,398147.7723,138232.8087
GIBSON PLAZA APARTMENTS,Multifamily Housing,1301 7TH STREET NW,Washington,District of Columbia,DC,20001,,,220005,220338,1972,2013,,20.9,37,20.9,37,,,361.5,,1301 7TH ST NW,4470039,FIRST RISING MOUNT ZION CHURCH,,3858763,,6,398143.3946,137783.8101
Sidney Harman Hall,,"610 F Street, NW",Washington,District of Columbia,DC,20004,,,210706,,2008,2013,,,,,,,,0,,610 F STREET NW,4561960,610-620 F ST CONDOS,,4018277,,2,,
600 E Street,Office,"600 E Street, NW",Washington,District of Columbia,DC,20004,,,438018,356387,1975,2013,,,,,,,,,,0600 E ST NW,4570039,6TH & E ASSOCIATES LLC,,1029531,,2,398222.6531,136443.0576
Lafayette at Penn Quarter Condo,Multifamily Housing,631 D Street NW,Washington,District of Columbia,DC,20004,,,161624,161624,2005,2013,,45.7,90.7,45.7,90.7,,,635.2,60.40996387,0031 D ST NW,4573066,THE LAFAYETTE @ PENN QUARTER,,3513807,,6,,
300 SEVENTH ST NY OWNER LLC,Office,300 SEVENTH ST SW,Washington,District of Columbia,DC,20024,,,201896,145187,1964,2013,,,,,,,,,20.23183894,0300 7TH ST SW,4640026,"300 SEVENTH ST NY OWEN, LLC",,3481129,,6,398175.1286,135254.1898
Keck Center,Other,500 Fifith Street NW,Washington,District of Columbia,DC,20001,,,373035,373035,2002,2013,,,,,,,,,,0500 5TH ST,4880843,NAS TITLE HOLDING LLC,,3632444,,2,398317.7248,136525.2133
Liberty Square,Office,"450 5th Street, NW",Washington,District of Columbia,DC,20001,,,437277,543682,1982,2013,,67.5,211.9,,,,,4646.6,,0450 5TH ST NW,4890021,JUDICIARY PLAZA LLC,,1341848,,2,398317.4523,136415.6046
"Tiber Island Cooperative Homes, Inc.",Multifamily Housing,429 N Street SW,Washington,District of Columbia,DC,20024,,,315832,315832,1965,2013,,,,,,,,,,0461 N ST SW,5020184,TIBER ISLAND COOPERATIVE HOMES,,2791015,,6,398361.6994,134170.9958
Yale Steam Laundry Comdominium,Multifamily Housing,"437 New York Avenue, NW",Washington,District of Columbia,DC,20001,,,115493,115493,2008,2013,,30.8,96.6,,,,,449.9,35.69999913,0437 NEW YORK AVE NW,5142900,YALE STEAM LAUNDRY CONDO,,3514046,,2,,
Meridian on Mass Avenue LLC,Multifamily Housing,450 Massachusetts Avenue NW,Washington,District of Columbia,DC,20001,,,383518,409410,2003,2013,,9.6,29.2,,,,,484.7,42.17459271,450 MASSACHUSETTS AVENUE NW,5173053,MERIDAN ON MASS AV CONDO,,3989980,,2,,
400 Massachsetts Ave Condominium,Multifamily Housing,400 Massachusetts Ave NW,Washington,District of Columbia,DC,20016,,,249966,178700,2004,2013,,,,,,,,,66.14605484,0400 MASSACHUSETTS AVE NW,5173063,400 MASS AVE CONDOMINIUMS,,3512771,,6,,
2100 2nd St SW,,2100 2nd Street SW,Washington,District of Columbia,DC,20593,,,887039,,1973,2013,,,,,,,,0,,2100 2ND ST SW,6130010,"2100 2ND ST HOLDINGS, LLC",,4435637,,6,398876.2059,132914.3944
National Guard Memorial Building,Office,"1 Massachusetts Avenue, NW",Washington,District of Columbia,DC,20001,,,335272,195276,1991,2013,,63.5,199.4,,,,,1570.2,16.13306295,0001 MASSACHUSETTS AV NW,6250060,NATIONAL GUARD ASSOCIATION OF THE UNITED STATES INC,,1852852,,6,399165.2992,136696.6969
500 North Capitol,Office,500 North Capitol Street,Washington,District of Columbia,DC,20001,,,297600,231958,2012,2013,,46.9,146.3,,,,,1370,22.86017296,0500 NORTH CAPITOL ST NW,6280169,500 NORTH CAPITOL LLC,,3335507,,6,399177.2025,136527.9695
"Jemal's Lazriv, LLC",Office,"1900 Half Street, SW",Washington,District of Columbia,DC,20003,,,778964,500203,1975,2013,,103.2,321.9,,,,,6498.6,21.94069208,1900 HALF ST SW,6660015,JEMAL'S LAZRIV WATER LLC,,3122341,,6,399151.9707,133199.7495
840 First Street NE,Office,840 1st Street NE,Washington,District of Columbia,DC,20002,,,266766,275617,2003,2013,,,,,,,,2559.4,,840 1ST ST,6750850,FP 840 FIRST STREET LLC,,3267015,,6,399402.0561,137030.7418
10 G,Office,10 G Street NE,Washington,District of Columbia,DC,20002,,,274960,280169,1997,2013,,,,,,,,,19.04065046,10 G ST,6770145,APA TEN G LLC,,1447242,,6,399291.4432,136806.8122
80 M Street SE,Office,"80 M Street , SE",Washington,District of Columbia,DC,20003,,,384666,319955,2001,2013,,58.5,172.5,,,,,2244.4,11.94605491,80 M ST,6990028,WELLS REIT II 80 M STREET LLC,,25506,,6,399448.8437,134352.4498
Foundry Building,Office,1055 Thomas Jefferson St NW,Washington,District of Columbia,DC,20007,,,331720,281758,1973,2013,,,,,,,,,16.84140291,1055 THOMAS JEFFERSON ST NW,11910071,THE FOUNDRY GEORGETOWN LLC,,1334627,,2,394828.2769,137334.0932
"Jemal's Cayre Car Barn, LLC",Office,"3600 M Street, NW",Washington,District of Columbia,DC,20007,,,117140,94142,1895,2013,,,,,,,,0,28.07567292,3600 M ST NW,12030047,JEMAL'S CAYRE CARBARN LLC,,3504836,,2,393943.8872,137513.8091
The Observatory of Georgetown,Multifamily Housing,2111 Wisconsin Ave NW,Washington,District of Columbia,DC,20007,,,129773,157749,1988,2013,,36.3,85.8,36.3,85.8,,,568.6,49.52614597,2111 WISCONSIN AVE NW,12991059,THE OBSERVATORY OF GEORGETOWN,,3507393,,3,,
Carillon House,Multifamily Housing,"2500 Wisconsin Avenue, NW",Washington,District of Columbia,DC,20007,,,327920,330646,1954,2013,,,,,,,,,36.79524325,2500 WISCONSIN AV NW,13000532,CARILLON HOUSE LP,,3506588,,3,393578.2614,139452.3552
Nebraska Hall,Residence Hall/Dormitory,4400 Massachusetts Ave,Washington,District of Columbia,DC,20016,,,1452667,70358,1959,2013,,40.3,80.8,,,,,245.8,30.51536428,4400 MASSACHUSETTS AV NW,16000001,AMERICAN UNIVERSITY,,1946550,,3,392242.8149,141005.7349
Mazza Gallerie,Parking,5300 Wisconsin Ave NW,Washington,District of Columbia,DC,20015,,,386528,293935,1977,2013,,49.1,143,49.3,143.2,,,1712.3,28.82303911,5300 WISCONSIN AV NW,16600812,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA,,1749204,,3,392570.4887,143540.4961
Friendship Center,Other,5333 Wisconsin Avenue,Washington,District of Columbia,DC,20015,,,86379,86728,1998,2013,,97,245.7,,,,,885.6,50.20293331,5333 WISCONSIN AV NW,16610855,STREET RETAIL INC,,3512639,,3,392673.2639,143544.1396
5151 Wisconsin Ave,Office,"5151 Wisconsin Avenue, NW",Washington,District of Columbia,DC,20016,,,108724,104325,1963,2013,,,2097,,,,,10303.4,14.6340762,5151 WISCONSIN AV NW,16660805,SATELITE INC,,3509608,,3,392819.801,143203.4922
Episcopal Church Home Friendship INC,Multifamily Housing,"4201 Butterworth PL, NW",Washington,District of Columbia,DC,20016,,,113755,113755,1969,2013,,,,,,,,34,,4201 BUTTERWORTH PL NW,16760015,EPISCOPAL CHURCH HOME FRIENDSHIP INC,,3644264,,3,392813.3256,142366.0587
4000 Tunlaw Condo,Multifamily Housing,"4000 Tunlaw Rd, NW",Washington,District of Columbia,DC,20007,,,227228,227228,1960,2013,,70.5,126.9,70.8,126.6,,,1272.9,52.70741282,4000 TUNLAW RD NW,17092430,4000 TUNLAW RD CONDO,,3507171,,3,,
Greenbriar Condominium,Multifamily Housing,"4301 Massachusetts Avenue, NW",Washington,District of Columbia,DC,20016,,,166216,211159,1952,2013,,,,,,,,,,4301 MASSACHUSETTS AVE NW,17171064,THE GREENBRIER CONDOMINIUM,,3510411,,3,,
Idaho Terrace,Multifamily Housing,3040 Idaho Ave NW,Washington,District of Columbia,DC,20016,,,140686,97580,1950,2013,,114.1,191.5,115.1,192.4,,,837,91.40397622,3040 IDAHO AV NW,18020815,IDAHO TERRACE APARTMENTS LLC,,3501723,,,393173.9099,140237.5297
3900 Watson Place,Multifamily Housing,"3900 Watson Place, NW",Washington,District of Columbia,DC,20016,,,262800,262800,1960,2013,,,,,,,,,,3900 WATSON PL NW,18050802,3900 WATSON PLACE NW INC,,3336884,,,393223.9321,140026.377
SFS - Middle School,K-12 School,3825 Wisconsin Ave.,Washington,District of Columbia,DC,20016,,,102140,205586,2003,2013,,,,,,,,,6.626423978,3901 - 3827 WISCONSIN AV NW,18250816,SIDWELL FRIENDS SCHOOL,,3483099,,3,393585.5868,141315.4885
La Reine Apartments,Multifamily Housing,"5425 Connecticut Avenue, NW",Washington,District of Columbia,DC,20015,,,100044,100044,1929,2013,,68.9,80.2,68.9,80.2,,,393.3,23.87049698,5425 CONNECTICUT AV NW,18690036,INVESTORS CONNECTICUT AVENUE LLC,,3503353,,3,393641.15,143828.9697
Clarence House,,4530 Connecticut Av NW,Washington,District of Columbia,DC,20008,,,168367,,1964,2013,,,,,,,,402.1,,4530 CONNECTICUT AV NW,19730804,NATIONAL SAVINGS & TRUST COMPANY TRUSTEES,,3494787,,3,394196.2554,142351.381
4600 Connecticut Avenue Condominium,Multifamily Housing,4600 Connecticut Avenue NW,Washington,District of Columbia,DC,20008,,,229657,299840,1957,2013,,,,,,,,,25.06603522,4600 CONNECTICUT AVE NW,19773012,4600 CONNECTICUT AVE CONDO,,3259832,,3,,
Ellicott House,Multifamily Housing,4849 Connecticut Ave NW,Washington,District of Columbia,DC,20008,,,319415,206304,1972,2013,,,,,,,,,,4849 CONNECTICUT AV NW,20350004,"TMG ELLICOTT, LP",,3533286,,3,394117.6103,142802.9409
Chesapeake,Multifamily Housing,4607 Connecticut Ave NW,Washington,District of Columbia,DC,20008,,,187490,187490,1941,2013,,,,,,,,,46.19926396,4607 CONNECTICUT AV NW,20380010,J F HORNING,,3916703,,3,394243.4824,142503.5453
Saratoga,Multifamily Housing,4601 Connecticut Ave NW,Washington,District of Columbia,DC,20008,,,534424,534424,1989,2013,,4.4,13.8,4.4,13.8,,,298.1,12.01630166,4601 CONNECTICUT AVENUE NW,20384003,COMMERICIAL CONDOMINIUM #4003,,3916525,,3,,
4401 Connecticut Avenue,,4401 Connecticut Ave NW,Washington,District of Columbia,DC,20008,,,133044,,2012,2013,,,,,,,,,,4401 CONNECTICUT AV NW,20460001,AMERICAN UNIVERSITY AT CONNECTICUT AVENUE LLC,,3497653,,3,394463.2785,141986.6116
Van Ness East Condominium,Multifamily Housing,"2939 Van Ness Street, NW",Washington,District of Columbia,DC,20008,,,324999,260732,1965,2013,,,,,,,,,,2939 VAN NESS ST NW,20491080,VAN NESS EAST CONDOMINIUM,,3508102,,3,,
Cathedral Mansions,Multifamily Housing,"3000 Connecticut Ave, NW",Washington,District of Columbia,DC,20008,,,193757,185551,1925,2013,,72.4,113.1,73.6,114.3,,,954.8,43.97335503,3000 CONNECTICUT AV NW,21060003,COLUMBIA REALTY VENTURE LLC,,3632093,,3,395153.6161,140215.8077
Cathedral Park,Multifamily Housing,"3100 Connecticut Ave., NW",Washington,District of Columbia,DC,20008,,,143708,143708,1923,2013,,18.8,25.7,18.9,25.7,,,173.3,72.74334066,3100 CONNECTICUT AVE NW,21061085,CATHEDRAL PARK CONDOMINIUM,,3419535,,3,,
The Delano,,"2745 29th Street, NW",Washington,District of Columbia,DC,20008,,,151582,98663,1941,2013,,69.9,89.4,70.9,90.4,,,427.2,39.37646331,2745 29TH ST NW,21320030,DELANO LLC,,3644356,,3,395058.4094,139676.4307
The Wyoming Condominium,Multifamily Housing,2022 Columbia Road NW,Washington,District of Columbia,DC,20009,,,122062,122062,1898,2013,,,,,,,,,,2022 COLUMBIA RD NW,25351115,THE WYOMING HOUSE,,3761665,,1,,
The Valley Vista Condominium,Multifamily Housing,2032 Belmont Rd NW,Washington,District of Columbia,DC,20009,,,116748,248899,1928,2013,,,,,,,,,18.30822944,2031 BELMONT RD NW,25411133,VALLEY VISTA CONDOMINIUM,,3425601,,1,,
Kalorama Place,Multifamily Housing,1900 Kalorama Place NW,Washington,District of Columbia,DC,20009,,,130541,102541,1996,2013,,9.4,29.5,9.4,29.5,,,121.8,32.63280054,1900 KALORAMA PL,25451139,KALORAMA PLACE,,3513647,,1,,
Beekman Place Condominium,Multifamily Housing,1600 Belmont Place NW,Washington,District of Columbia,DC,20009,,,272449,272449,1976,2013,,,,,,,,,,1600 BEEKMAN PL NW,25671210,BEEKMAN PLACE CONDO,,3519900,,1,,
1661 Crescent Place NW Inc,Multifamily Housing,1661 Crescent Place NW,Washington,District of Columbia,DC,20009,,,118686,118686,1926,2013,,44.3,51.8,44.9,52.5,,,301.1,17.9616804,1661 CRESCENT PL NW,25710954,1661 CRESCENT PLACE NW INC,,3513593,,1,396685.3776,139228.39
Jemal's Citadel LLC,Other,1641-1681 Kalorama Rd,Washington,District of Columbia,DC,20009,,,116689,116689,1940,2013,,,,,,,,0,,1641 - 1681 KALORAMA RD NW,25720036,JEMAL'S CITADEL LLC,,3997988,,1,396671.3147,139348.8103
Dorchester House Apartments,Multifamily Housing,2480 16th Street,Washington,District of Columbia,DC,20009,,,439502,439502,1941,2013,,,,,,,,,,2480 16TH ST,25720815,DORCHESTER HOUSE ASSOCIATES LLC,,3542092,,1,396767.3132,139431.1348
Randolph Towers,Multifamily Housing,3900-3902 14th Street NW,Washington,District of Columbia,DC,20011,,,102268,102268,2006,2013,,22.8,36.7,22.8,36.7,,,169.6,54.9966754,3900-3901 14TH ST NW,25821336,RANDOLPH TOWERS,,3513654,,4,,
Ontario Owners Inc.,Multifamily Housing,2853 Ontario Road NW,Washington,District of Columbia,DC,20009,,,198381,198381,1906,2013,,46.1,53.2,,,,,518.5,21.00654801,2853 ONTARIO RD NW,25860813,ONTARIO OWNERS INC,,3500299,,1,396316.2798,139782.9421
Harvard Hall,Multifamily Housing,1650 Harvard Street NW,Washington,District of Columbia,DC,20009,,,174971,174971,1929,2013,,,,,,,,,,1650 HARVARD ST NW,25890847,HARVARD HALL LLC,,3540396,,1,396550.1179,139875.6733
Faircliff Plaza West,Multifamily Housing,1424 Clifton St,Washington,District of Columbia,DC,20009,,,122869,86232,1979,2013,,3.3,10.5,3.3,10.5,,,36.4,76.26055293,1424 CLIFTON ST,26620204,FPW LP,,3513277,,1,397069.8656,139380.5242
